"","autoctr","StockCode","sciname","ReproducRefNo","ReproMode","Fertilization","MatingSystem","MonogamyType","MatingRefNo","MatingQuality","Spawning","BatchSpawner","SpawnModRef","RepGuild1","RepGuild2","ParentalCare","ParentalCareQ","ParentalCareRef","RepAquarium","RepAquaRef","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","AddInfos","TS","SpecCode"
"49",1337,2615,"Gasterosteus aculeatus",7471,"dioecism","external","promiscuity",NA,27547,"2","one clear seasonal peak per year",1,27547,"guarders","nesters","paternal","1",58332,NA,NA,2,"1991-03-05T00:00:00.000Z",10,"2014-04-29T00:00:00.000Z",1375,"2004-11-10T00:00:00.000Z","Spawning behavior is similar for both freshwater and anadromous forms (Ref. 28966). Just before breeding, males become very territorial. The male builds a nest of plant-material glued together with spiggin, a protein produced in the kidney (Ref. 52349). Once a nest is built, the male entices the female into the nest by performing a courtship dance which is a series of  zigzag movements (Ref. 1998). A receptive female follows the male who points the opening of the nest by posing above it with his head down. The female enters the nest, deposits up to a few hundred eggs, and is driven out by the male after eggs have been deposited. The male then enters the nest to fertilize the eggs. The male can choose to court another female to enter the nest and lay eggs before entering himself to fertilise the deposited eggs. Females may lay eggs in several nests over a period of several days or may be courted by the same male (Ref. 27547). The male guards and ventilates the eggs and young (Ref. 1998).  During spawning season, males develop a bright orange to red belly and blue-green flank and eyes.  Eggs hatch in 7-8 days.  Anadromous forms usually die of exhaustion after spawning cycle.  Freshwater individuals are able to complete several cycles within one year or sometimes over several years (Ref. 59043).",NA,2420
"50",1749,3468,"Gasterosteus wheatlandi",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","paternal","1",205,NA,NA,2,"2011-07-08T00:00:00.000Z",NA,"2011-07-08T00:00:00.000Z",NA,NA,"Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).",NA,3272
"51",10955,4288,"Gymnocanthus tricuspis",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4092
"52",10950,4289,"Hemilepidotus hemilepidotus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,NA,NA,4093
"53",10951,4291,"Hemilepidotus spinosus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4095
"54",2110,4293,"Hemitripterus americanus",34819,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-01-22T00:00:00.000Z",NA,"2002-01-22T00:00:00.000Z",NA,NA,"Adults attach their eggs near the base of a sponge to use as a spawning bed (Ref. 34819, 41075).",NA,4097
"55",5585,12051,"Hemitripterus villosus",34819,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-01-22T00:00:00.000Z",NA,"2002-01-22T00:00:00.000Z",NA,NA,"Spawn in the calcareous deposits of colonies of the polychaeta, <i>Salmacina</i>sp. which makes them more of  'cavity spawners'  than 'spawners in live vertebrate' (Ref. 34819, 26281).",NA,11725
"56",797,4228,"Hexagrammos decagrammus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",58332,NA,NA,2,"2007-05-22T00:00:00.000Z",NA,"2007-05-22T00:00:00.000Z",NA,NA,NA,NA,4032
"57",10925,4229,"Hexagrammos lagocephalus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",205,NA,NA,2,"2015-05-19T00:00:00.000Z",NA,"2015-05-19T00:00:00.000Z",NA,NA,NA,NA,4033
"58",3641,6918,"Hexagrammos otakii",559,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,10,"1995-09-20T00:00:00.000Z",NA,"1996-03-16T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Male guards eggs.",NA,6598
"59",798,4231,"Hexagrammos stelleri",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Male guards egg mass.",NA,4035
"60",12193,4360,"Hypsagonus quadricornis",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-08-03T00:00:00.000Z",NA,"2017-08-03T00:00:00.000Z",NA,NA,NA,NA,4164
"61",12195,13224,"Iluocoetes fimbriatus",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-08-03T00:00:00.000Z",NA,"2017-08-03T00:00:00.000Z",NA,NA,NA,NA,12894
"62",5421,11101,"Inegocia harrisii",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,10778
"63",5192,10658,"Inegocia japonica",39368,"protandry","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2001-07-23T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,"Also Ref. 32209.",NA,10335
"64",4441,8783,"Kumococius rodericensis",103751,"protandry","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",2,"2015-07-20T00:00:00.000Z",NA,NA,NA,NA,8469
"65",10958,4308,"Leptocottus armatus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4112
"66",6077,13181,"Leviprora inops",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,12851
"67",1030,1398,"Liparis montagui",4645,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,1,"1999-02-12T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,"Eggs are deposited on algae or polyp colonies.",NA,1379
"68",12201,4394,"Liparis pulchellus",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-08-03T00:00:00.000Z",NA,"2017-08-03T00:00:00.000Z",NA,NA,NA,NA,4198
"69",1031,1399,"Lumpenus lampretaeformis",205,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"guarders","nesters","maternal","1",205,NA,NA,2,"2009-06-23T00:00:00.000Z",NA,"2009-06-23T00:00:00.000Z",NA,NA,NA,NA,1380
"70",12203,40530,"Lycodes raridens",NA,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2017-08-03T00:00:00.000Z",NA,"2017-08-03T00:00:00.000Z",NA,NA,NA,NA,48262
"71",10959,4313,"Myoxocephalus aenaeus",101741,"dioecism",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101741).",NA,4117
"72",2111,4316,"Myoxocephalus octodecemspinosus",34819,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,2,"2002-01-22T00:00:00.000Z",NA,"2002-01-22T00:00:00.000Z",NA,NA,"Adults attach their eggs near the base of a sponge to use as a spawning bed (Ref. 34819, 41075).",NA,4120
"73",1001,1347,"Myoxocephalus scorpius",4645,"dioecism","internal (oviduct)",NA,NA,NA,NA,NA,0,NA,"guarders","clutch tenders",NA,NA,NA,NA,NA,1,"1999-02-12T00:00:00.000Z",NA,"1999-03-29T00:00:00.000Z",NA,NA,"Eggs are deposited in a clutch on the bottom and defended by the male. Larvae hatch after about 5 weeks.",NA,1329
"74",2262,4705,"Neoceratodus forsteri",2158,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,10,"1998-02-27T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",1,"2004-01-16T15:46:26.000Z","The lungfish spawns from August to October; the eggs resemble small transparent grapes and are frequently found attached to floating stands of water-hyacinth. Spawning appears to occur in a series of three phases: in the first, a pair of fish move together, roaming about an area, presumably in search of a suitable spawning site; in the second presumably the male follows the female, nudging her flanks; finally, the fish plunge through the surrounding weed, the male following the female and fertilising the eggs as they are shed.",NA,4512
"75",11002,4126,"Neomerinthe hemingwayi",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,3930
"76",2113,4324,"Oligocottus maculosus",6885,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,NA,NA,NA,NA,NA,113,"1999-03-30T00:00:00.000Z",NA,"1999-03-30T00:00:00.000Z",NA,NA,"Males clasp females with their pectoral fin and fertilizes the eggs as it is being deposited on a rock (Ref. 6885).",NA,4128
"77",4329,8444,"Onigocia macrolepis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,8133
"78",5527,11583,"Onigocia oligolepis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,11258
"79",8282,40234,"Onigocia sibogae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,47891
"80",4327,8441,"Onigocia spinosa",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,8130
"81",330,525,"Ophiodon elongatus",4563,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"1995-06-28T00:00:00.000Z",113,"2000-05-19T00:00:00.000Z",1,"2000-05-19T00:00:00.000Z","Eggs are deposited in crevices or under rocks (Ref. 6885). Male guards the eggs until they hatch.",NA,509
"82",7073,18898,"Opisthocentrus ocellatus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"maternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,NA,NA,23783
"83",7074,18899,"Opisthocentrus tenuis",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"maternal","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,NA,NA,23784
"84",10928,4232,"Oxylebius pictus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"paternal","1",205,NA,NA,2,"2015-05-19T00:00:00.000Z",NA,"2015-05-19T00:00:00.000Z",NA,NA,NA,NA,4036
"85",4241,8207,"Papilloculiceps longiceps",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,7896
"86",11015,4214,"Peristedion miniatum",37799,"dioecism","external",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,"2015-05-20T00:00:00.000Z",NA,"2015-05-20T00:00:00.000Z",NA,NA,"Oviparous (Ref. 37799).",NA,4018
"87",2051,4000,"Pholis gunnellus",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"biparental","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Male and female coil around the egg ball (Ref. 58332).",NA,3804
"88",2052,4001,"Pholis laeta",58332,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders",NA,"biparental","1",58332,NA,NA,2,"2007-05-23T00:00:00.000Z",NA,"2007-05-23T00:00:00.000Z",NA,NA,"Male and female coil around the egg ball (Ref. 58332).",NA,3805
"89",11017,4002,"Pholis ornata",101786,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters","biparental","1",101786,NA,NA,2,"2015-05-20T00:00:00.000Z",2,"2016-06-02T00:00:00.000Z",NA,NA,"Oviparous (Ref. 101786).  Adhesive eggs attached to a nest substrate are brooded by both parents (Ref. 101786).",NA,3806
"90",8699,43633,"Platycephalus aurimaculatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52457
"91",2465,5103,"Platycephalus bassensis",6390,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"1999-06-22T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,NA,NA,4873
"92",2466,5104,"Platycephalus caeruleopunctatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,4874
"93",6188,43987,"Platycephalus cultellatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52977
"94",5426,11106,"Platycephalus endrachtensis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,10783
"95",8462,41706,"Platycephalus fuscus",6390,"protandry","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"1998-09-17T00:00:00.000Z",2,"2011-07-06T00:00:00.000Z",NA,NA,"There is conflicting information (Ref. 27246, 27245, 27247) on whether dusky flahead are protandrous sex reversers or not.",NA,49820
"96",6438,14171,"Platycephalus grandispinis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,14341
"97",835,966,"Platycephalus indicus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",2,"2015-07-20T00:00:00.000Z",NA,NA,"Also Ref. 103751.",NA,950
"98",8680,43557,"Platycephalus laevigatus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52356
"99",8678,43555,"Platycephalus marmoratus",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,52355
"100",10002,55294,"Platycephalus orbitalis",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,65207
"101",1936,3748,"Platycephalus speculator",34078,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",1,34078,"nonguarders",NA,"none","1",205,NA,NA,2,"2000-05-19T00:00:00.000Z",2,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,3552
"102",10076,56626,"Platycephalus westraliae",205,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,"none","1",205,NA,NA,2,"2011-07-06T00:00:00.000Z",NA,"2011-07-06T00:00:00.000Z",NA,NA,NA,NA,66159
"103",331,526,"Pleurogrammus azonus",559,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"guarders","nesters",NA,NA,NA,NA,NA,10,"1994-09-09T00:00:00.000Z",2,"2006-03-24T00:00:00.000Z",10,"1996-03-16T00:00:00.000Z","Female deposits egg mass in crevices or gravel in rocky coast less than 20 m depth. Male guards the eggs.",NA,510
"104",799,4233,"Pleurogrammus monopterygius",27369,"dioecism","external",NA,NA,NA,NA,"one clear seasonal peak per year",0,NA,"guarders","nesters",NA,NA,NA,NA,NA,3,"1998-10-06T00:00:00.000Z",2,"2016-06-01T00:00:00.000Z",NA,NA,"Spawns twice a year (Ref. 28499). Eggs are deposited in rock crevices and are guarded by the male who continuously fans the egg mass with his pectoral fin until hatching (Ref. 28499), which occurs after 40-45 days (Ref. 27369).",NA,4037
"105",10767,19087,"Podothecus sachi",32372,"dioecism","internal (oviduct)",NA,NA,NA,NA,"one clear seasonal peak per year",0,32372,NA,NA,NA,NA,NA,NA,NA,2,"2014-08-27T00:00:00.000Z",NA,"2014-08-27T00:00:00.000Z",NA,NA,"Mature females are multiple spawners (Ref. 32372).",NA,24005
"106",4380,8535,"Pontinus sierra",36715,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders",NA,NA,NA,NA,NA,NA,2,"2000-12-08T00:00:00.000Z",NA,"2000-12-08T00:00:00.000Z",NA,NA,"Oviparous (Ref. 36715).",NA,8222
"107",10992,1259,"Prionotus carolinus",37799,"dioecism","external",NA,NA,NA,NA,NA,0,NA,"nonguarders","open water/substratum egg scatterers","none","3",NA,NA,NA,2,"2015-05-20T00:00:00.000Z",2,"2017-07-24T00:00:00.000Z",NA,NA,"Oviparous (Ref. 37799).",NA,1243
